"Nekateri kazalniki transporta po statistiènih regijah, Slovenija, letno"

"KAZALNIK";"STATISTIÈNA REGIJA";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Število osebnih avtomobilov na 1.000 prebivalcev";"Pomurska";393;398;407;419;432;442;457;478;484;490;496;501;504;509;513;524;538;555;565
"Število osebnih avtomobilov na 1.000 prebivalcev";"Podravska";416;420;429;440;452;462;476;489;494;494;496;497;496;500;508;517;526;534;541
"Število osebnih avtomobilov na 1.000 prebivalcev";"Koroška";406;412;421;431;445;455;467;488;490;494;500;503;507;511;513;523;532;547;554
"Število osebnih avtomobilov na 1.000 prebivalcev";"Savinjska";416;422;431;444;458;467;481;502;506;510;513;513;512;515;515;523;534;547;555
"Število osebnih avtomobilov na 1.000 prebivalcev";"Zasavska";386;392;398;410;422;430;445;463;468;469;468;470;469;472;482;491;501;517;524
"Število osebnih avtomobilov na 1.000 prebivalcev";"Posavska";420;426;436;452;465;475;489;510;518;521;525;525;529;533;536;548;560;574;584
"Število osebnih avtomobilov na 1.000 prebivalcev";"Jugovzhodna Slovenija";421;427;436;450;464;470;483;502;506;510;515;517;517;523;527;537;551;564;571
"Število osebnih avtomobilov na 1.000 prebivalcev";"Osrednjeslovenska";475;483;489;498;508;514;527;529;528;524;521;516;510;508;517;522;530;530;535
"Število osebnih avtomobilov na 1.000 prebivalcev";"Gorenjska";442;449;458;470;479;486;498;512;517;518;518;517;516;518;521;529;539;547;551
"Število osebnih avtomobilov na 1.000 prebivalcev";"Primorsko-notranjska";452;461;469;482;496;506;518;537;542;545;550;555;553;555;558;569;581;596;604
"Število osebnih avtomobilov na 1.000 prebivalcev";"Goriška";499;506;513;522;536;545;556;577;581;580;580;577;577;579;580;589;600;614;621
"Število osebnih avtomobilov na 1.000 prebivalcev";"Obalno-kraška";511;515;519;531;541;549;558;570;569;569;568;563;558;559;561;567;576;585;589
"Povpreèna starost osebnih avtomobilov";"Pomurska";7.8;7.9;8.1;8.2;8.3;8.3;8.4;8.5;8.5;8.6;8.7;8.9;9.2;9.5;9.8;9.9;10.0;10.0;10.0
"Povpreèna starost osebnih avtomobilov";"Podravska";7.2;7.3;7.5;7.6;7.7;7.8;7.9;8.0;8.1;8.3;8.6;8.9;9.2;9.6;9.8;10.0;10.1;10.1;10.1
"Povpreèna starost osebnih avtomobilov";"Koroška";6.8;7.0;7.3;7.4;7.5;7.6;7.7;7.8;8.1;8.2;8.4;8.7;8.9;9.2;9.5;9.6;9.6;9.7;9.8
"Povpreèna starost osebnih avtomobilov";"Savinjska";7.1;7.3;7.5;7.6;7.7;7.8;7.9;8.1;8.2;8.4;8.7;9.0;9.4;9.7;10.0;10.2;10.3;10.4;10.5
"Povpreèna starost osebnih avtomobilov";"Zasavska";7.1;7.4;7.5;7.5;7.6;7.6;7.6;7.8;7.9;8.1;8.3;8.6;9.0;9.4;9.8;10.0;10.0;10.1;10.2
"Povpreèna starost osebnih avtomobilov";"Posavska";7.7;7.9;8.0;8.1;8.3;8.4;8.5;8.7;8.8;9.0;9.2;9.6;9.9;10.2;10.5;10.8;10.8;10.8;10.9
"Povpreèna starost osebnih avtomobilov";"Jugovzhodna Slovenija";6.8;7.0;7.2;7.3;7.4;7.5;7.6;7.8;8.0;8.2;8.5;8.8;9.2;9.5;9.8;10.0;10.1;10.1;10.2
"Povpreèna starost osebnih avtomobilov";"Osrednjeslovenska";6.4;6.6;6.8;6.8;7.0;7.0;7.1;7.2;7.4;7.6;7.8;8.2;8.5;8.8;9.1;9.3;9.3;9.4;9.5
"Povpreèna starost osebnih avtomobilov";"Gorenjska";6.8;7.0;7.2;7.3;7.4;7.5;7.6;7.7;7.9;8.0;8.3;8.6;8.9;9.2;9.5;9.7;9.8;9.8;9.9
"Povpreèna starost osebnih avtomobilov";"Primorsko-notranjska";7.2;7.4;7.6;7.6;7.8;7.9;8.1;8.2;8.5;8.7;9.0;9.3;9.6;10.0;10.4;10.6;10.8;11.0;11.1
"Povpreèna starost osebnih avtomobilov";"Goriška";7.2;7.4;7.5;7.6;7.8;8.0;8.1;8.3;8.6;8.9;9.2;9.6;10.0;10.4;10.8;11.1;11.3;11.5;11.7
"Povpreèna starost osebnih avtomobilov";"Obalno-kraška";6.8;6.9;7.0;7.1;7.3;7.4;7.4;7.5;7.7;8.0;8.2;8.7;9.1;9.5;9.9;10.1;10.3;10.5;10.6
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Pomurska";1.4;1.1;1.5;1.9;1.3;1.9;2.3;1.3;0.5;0.8;0.3;0.8;0.8;0.4;0.3;0.6;0.5;0.3;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Podravska";1.3;1.4;1.1;1.3;1.2;1.4;1.6;1.3;0.7;0.6;1.0;0.5;0.5;0.7;0.6;0.7;0.6;0.6;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Koroška";0.7;1.4;1.4;0.9;1.2;0.8;1.2;1.1;0.7;0.6;1.0;0.8;0.4;0.4;0.6;0.7;0.8;0.3;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Savinjska";1.7;1.8;1.1;1.4;1.2;1.0;1.6;1.3;1.0;0.5;0.4;0.6;0.8;0.5;0.7;0.6;0.5;0.4;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Zasavska";0.4;0.2;0.9;1.1;0.9;0.2;1.3;0.7;0.9;0.4;0.0;1.4;0.2;0.2;0.5;0.7;0.5;0.5;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Posavska";1.1;1.4;1.1;1.3;1.0;1.0;0.9;1.0;0.7;0.9;0.4;0.4;1.7;0.3;0.1;0.9;0.7;0.5;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Jugovzhodna Slovenija";2.2;1.7;1.5;2.4;3.0;1.6;1.5;1.3;1.3;0.9;0.7;0.6;0.4;0.4;0.6;0.6;0.3;0.8;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Osrednjeslovenska";1.0;1.2;1.0;1.1;1.2;1.2;1.3;0.8;0.7;0.6;0.6;0.4;0.4;0.4;0.5;0.4;0.4;0.2;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Gorenjska";1.2;1.1;0.8;1.3;1.0;0.9;1.4;0.9;1.1;0.9;0.8;0.8;0.7;0.5;0.5;0.4;0.4;0.3;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Primorsko-notranjska";1.4;1.0;1.8;2.0;2.5;1.8;2.9;0.8;1.2;0.6;1.3;1.1;1.5;1.1;1.1;0.6;1.5;0.8;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Goriška";2.2;1.0;1.7;1.3;0.6;1.6;0.6;1.3;0.9;0.5;0.9;1.0;0.5;0.8;1.2;1.0;0.7;0.8;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Obalno-kraška";2.3;1.9;2.1;1.3;1.0;2.2;1.4;0.8;0.8;1.0;0.8;0.7;0.7;0.9;0.5;1.0;0.3;0.6;...
"Gostota cestnega javnega omrežja (km na km2)";"Pomurska";2.4;2.4;2.4;2.4;2.4;2.4;2.5;2.4;2.4;2.4;2.4;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Podravska";3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Koroška";1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.5;1.5;1.5;1.6;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Savinjska";2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.4;2.4;2.4;2.4;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Zasavska";2.8;2.8;2.8;2.8;2.8;2.9;2.9;2.9;2.8;2.8;2.8;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Posavska";2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.7;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Jugovzhodna Slovenija";1.4;1.4;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.4;1.3;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Osrednjeslovenska";2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Gorenjska";1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Primorsko-notranjska";0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Goriška";1.3;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;...;...;...;...;...;...;...;...
"Gostota cestnega javnega omrežja (km na km2)";"Obalno-kraška";1.5;1.5;1.5;1.5;1.6;1.5;1.5;1.6;1.6;1.6;1.6;...;...;...;...;...;...;...;...
