"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2010","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2010","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2010","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2010","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2010","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2010","Belgium","Millions of passenger-kilometres","10,498",""
"2010","Belgium","Thousand passengers","223,198",""
"2010","Bulgaria","Millions of passenger-kilometres","2,090",""
"2010","Bulgaria","Thousand passengers","30,079",""
"2010","Czechia","Millions of passenger-kilometres","6,559",""
"2010","Czechia","Thousand passengers","164,642",""
"2010","Denmark","Millions of passenger-kilometres","6,341",""
"2010","Denmark","Thousand passengers","185,947",""
"2010","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","82,837",""
"2010","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,368,375",""
"2010","Estonia","Millions of passenger-kilometres","247",""
"2010","Estonia","Thousand passengers","4,799",""
"2010","Ireland","Millions of passenger-kilometres","1,678",""
"2010","Ireland","Thousand passengers","38,226",""
"2010","Greece","Millions of passenger-kilometres","1,383",""
"2010","Greece","Thousand passengers","13,817",""
"2010","Spain","Millions of passenger-kilometres","22,343",""
"2010","Spain","Thousand passengers","563,505",""
"2010","France","Millions of passenger-kilometres",":","c"
"2010","France","Thousand passengers",":","c"
"2010","Croatia","Millions of passenger-kilometres","1,711",""
"2010","Croatia","Thousand passengers","69,421",""
"2010","Italy","Millions of passenger-kilometres","47,172",""
"2010","Italy","Thousand passengers","838,892",""
"2010","Latvia","Millions of passenger-kilometres","741",""
"2010","Latvia","Thousand passengers","20,804",""
"2010","Lithuania","Millions of passenger-kilometres","244",""
"2010","Lithuania","Thousand passengers","3,795",""
"2010","Luxembourg","Millions of passenger-kilometres","347",""
"2010","Luxembourg","Thousand passengers","17,995",""
"2010","Hungary","Millions of passenger-kilometres","7,653",""
"2010","Hungary","Thousand passengers","140,398",""
"2010","Netherlands","Millions of passenger-kilometres",":","c"
"2010","Netherlands","Thousand passengers",":","c"
"2010","Austria","Millions of passenger-kilometres","10,263",""
"2010","Austria","Thousand passengers","239,974",""
"2010","Poland","Millions of passenger-kilometres","17,485",""
"2010","Poland","Thousand passengers","241,976",""
"2010","Portugal","Millions of passenger-kilometres","4,111",""
"2010","Portugal","Thousand passengers","152,997",""
"2010","Romania","Millions of passenger-kilometres","5,437",""
"2010","Romania","Thousand passengers","64,272",""
"2010","Slovenia","Millions of passenger-kilometres","729",""
"2010","Slovenia","Thousand passengers","15,782",""
"2010","Slovakia","Millions of passenger-kilometres","2,309",""
"2010","Slovakia","Thousand passengers","46,509",""
"2010","Finland","Millions of passenger-kilometres","3,959",""
"2010","Finland","Thousand passengers","68,950",""
"2010","Sweden","Millions of passenger-kilometres","11,155",""
"2010","Sweden","Thousand passengers","179,343",""
"2010","United Kingdom","Millions of passenger-kilometres","55,831",""
"2010","United Kingdom","Thousand passengers","1,365,918",""
"2010","Liechtenstein","Millions of passenger-kilometres","1",""
"2010","Liechtenstein","Thousand passengers","96",""
"2010","Norway","Millions of passenger-kilometres","3,186",""
"2010","Norway","Thousand passengers","59,304",""
"2010","Switzerland","Millions of passenger-kilometres","19,093",""
"2010","Switzerland","Thousand passengers","492,162",""
"2010","Montenegro","Millions of passenger-kilometres",":",""
"2010","Montenegro","Thousand passengers",":",""
"2010","North Macedonia","Millions of passenger-kilometres","155",""
"2010","North Macedonia","Thousand passengers","1,512",""
"2010","Turkey","Millions of passenger-kilometres","5,491",""
"2010","Turkey","Thousand passengers","84,174",""
"2010","Bosnia and Herzegovina","Millions of passenger-kilometres",":",""
"2010","Bosnia and Herzegovina","Thousand passengers",":",""
"2011","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2011","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2011","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2011","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2011","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2011","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2011","Belgium","Millions of passenger-kilometres","10,669",""
"2011","Belgium","Thousand passengers","228,753",""
"2011","Bulgaria","Millions of passenger-kilometres","2,059",""
"2011","Bulgaria","Thousand passengers","29,287",""
"2011","Czechia","Millions of passenger-kilometres","6,669","p"
"2011","Czechia","Thousand passengers","167,789","p"
"2011","Denmark","Millions of passenger-kilometres","6,605",""
"2011","Denmark","Thousand passengers","194,428",""
"2011","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","89,316",""
"2011","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,530,284",""
"2011","Estonia","Millions of passenger-kilometres","243",""
"2011","Estonia","Thousand passengers","4,758",""
"2011","Ireland","Millions of passenger-kilometres","1,638",""
"2011","Ireland","Thousand passengers","37,375",""
"2011","Greece","Millions of passenger-kilometres","958",""
"2011","Greece","Thousand passengers","13,305",""
"2011","Spain","Millions of passenger-kilometres","22,931",""
"2011","Spain","Thousand passengers","579,174",""
"2011","France","Millions of passenger-kilometres",":","c"
"2011","France","Thousand passengers",":","c"
"2011","Croatia","Millions of passenger-kilometres","1,457",""
"2011","Croatia","Thousand passengers","49,852",""
"2011","Italy","Millions of passenger-kilometres",":","c"
"2011","Italy","Thousand passengers",":","c"
"2011","Latvia","Millions of passenger-kilometres","733",""
"2011","Latvia","Thousand passengers","20,447",""
"2011","Lithuania","Millions of passenger-kilometres","269",""
"2011","Lithuania","Thousand passengers","4,127",""
"2011","Luxembourg","Millions of passenger-kilometres","349",""
"2011","Luxembourg","Thousand passengers","18,200",""
"2011","Hungary","Millions of passenger-kilometres","7,763",""
"2011","Hungary","Thousand passengers","145,561",""
"2011","Netherlands","Millions of passenger-kilometres",":","c"
"2011","Netherlands","Thousand passengers",":","c"
"2011","Austria","Millions of passenger-kilometres","10,778",""
"2011","Austria","Thousand passengers","241,526",""
"2011","Poland","Millions of passenger-kilometres","17,633",""
"2011","Poland","Thousand passengers","239,054",""
"2011","Portugal","Millions of passenger-kilometres","4,237",""
"2011","Portugal","Thousand passengers","149,189",""
"2011","Romania","Millions of passenger-kilometres","5,063",""
"2011","Romania","Thousand passengers","60,971",""
"2011","Slovenia","Millions of passenger-kilometres","689",""
"2011","Slovenia","Thousand passengers","15,317",""
"2011","Slovakia","Millions of passenger-kilometres","2,431",""
"2011","Slovakia","Thousand passengers","47,453",""
"2011","Finland","Millions of passenger-kilometres","3,882",""
"2011","Finland","Thousand passengers","68,376",""
"2011","Sweden","Millions of passenger-kilometres","11,379",""
"2011","Sweden","Thousand passengers","187,055",""
"2011","United Kingdom","Millions of passenger-kilometres","58,462",""
"2011","United Kingdom","Thousand passengers","1,463,068",""
"2011","Liechtenstein","Millions of passenger-kilometres","1",""
"2011","Liechtenstein","Thousand passengers","96",""
"2011","Norway","Millions of passenger-kilometres","3,076",""
"2011","Norway","Thousand passengers","59,384",""
"2011","Switzerland","Millions of passenger-kilometres","19,387",""
"2011","Switzerland","Thousand passengers","511,770",""
"2011","Montenegro","Millions of passenger-kilometres",":",""
"2011","Montenegro","Thousand passengers",":",""
"2011","North Macedonia","Millions of passenger-kilometres","145",""
"2011","North Macedonia","Thousand passengers","1,421",""
"2011","Turkey","Millions of passenger-kilometres","5,882",""
"2011","Turkey","Thousand passengers","85,752",""
"2011","Bosnia and Herzegovina","Millions of passenger-kilometres",":",""
"2011","Bosnia and Herzegovina","Thousand passengers",":",""
"2012","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":",""
"2012","European Union - 27 countries (from 2020)","Thousand passengers",":",""
"2012","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":",""
"2012","European Union - 28 countries (2013-2020)","Thousand passengers",":",""
"2012","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":",""
"2012","European Union - 27 countries (2007-2013)","Thousand passengers",":",""
"2012","Belgium","Millions of passenger-kilometres",":",""
"2012","Belgium","Thousand passengers",":",""
"2012","Bulgaria","Millions of passenger-kilometres","1,870",""
"2012","Bulgaria","Thousand passengers","26,508",""
"2012","Czechia","Millions of passenger-kilometres","7,196",""
"2012","Czechia","Thousand passengers","172,580",""
"2012","Denmark","Millions of passenger-kilometres","6,744",""
"2012","Denmark","Thousand passengers","201,899",""
"2012","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","93,918",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,564,498",""
"2012","Estonia","Millions of passenger-kilometres","235",""
"2012","Estonia","Thousand passengers","4,411",""
"2012","Ireland","Millions of passenger-kilometres","1,578",""
"2012","Ireland","Thousand passengers","36,918",""
"2012","Greece","Millions of passenger-kilometres","832",""
"2012","Greece","Thousand passengers","12,658",""
"2012","Spain","Millions of passenger-kilometres","22,446",""
"2012","Spain","Thousand passengers","568,596",""
"2012","France","Millions of passenger-kilometres","91,205",""
"2012","France","Thousand passengers","1,150,297",""
"2012","Croatia","Millions of passenger-kilometres","1,080",""
"2012","Croatia","Thousand passengers","27,576",""
"2012","Italy","Millions of passenger-kilometres","46,759",""
"2012","Italy","Thousand passengers","854,836",""
"2012","Latvia","Millions of passenger-kilometres","717",""
"2012","Latvia","Thousand passengers","19,707",""
"2012","Lithuania","Millions of passenger-kilometres","278",""
"2012","Lithuania","Thousand passengers","4,251",""
"2012","Luxembourg","Millions of passenger-kilometres","373",""
"2012","Luxembourg","Thousand passengers","19,691",""
"2012","Hungary","Millions of passenger-kilometres","7,769",""
"2012","Hungary","Thousand passengers","147,688",""
"2012","Netherlands","Millions of passenger-kilometres",":","c"
"2012","Netherlands","Thousand passengers",":","c"
"2012","Austria","Millions of passenger-kilometres","11,211",""
"2012","Austria","Thousand passengers","260,518",""
"2012","Poland","Millions of passenger-kilometres","17,674",""
"2012","Poland","Thousand passengers","266,011",""
"2012","Portugal","Millions of passenger-kilometres","3,803",""
"2012","Portugal","Thousand passengers","132,212",""
"2012","Romania","Millions of passenger-kilometres","4,550",""
"2012","Romania","Thousand passengers","57,530",""
"2012","Slovenia","Millions of passenger-kilometres","659",""
"2012","Slovenia","Thousand passengers","15,086",""
"2012","Slovakia","Millions of passenger-kilometres","2,459",""
"2012","Slovakia","Thousand passengers","44,609",""
"2012","Finland","Millions of passenger-kilometres","4,035",""
"2012","Finland","Thousand passengers","69,331",""
"2012","Sweden","Millions of passenger-kilometres","11,792",""
"2012","Sweden","Thousand passengers","193,163",""
"2012","United Kingdom","Millions of passenger-kilometres","60,783",""
"2012","United Kingdom","Thousand passengers","1,543,261",""
"2012","Liechtenstein","Millions of passenger-kilometres","1",""
"2012","Liechtenstein","Thousand passengers","96",""
"2012","Norway","Millions of passenger-kilometres","3,092",""
"2012","Norway","Thousand passengers","62,689",""
"2012","Switzerland","Millions of passenger-kilometres","19,180",""
"2012","Switzerland","Thousand passengers","513,860",""
"2012","Montenegro","Millions of passenger-kilometres",":",""
"2012","Montenegro","Thousand passengers",":",""
"2012","North Macedonia","Millions of passenger-kilometres","99",""
"2012","North Macedonia","Thousand passengers","1,013",""
"2012","Turkey","Millions of passenger-kilometres","4,598",""
"2012","Turkey","Thousand passengers","70,284",""
"2012","Bosnia and Herzegovina","Millions of passenger-kilometres",":",""
"2012","Bosnia and Herzegovina","Thousand passengers",":",""
"2013","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2013","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2013","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2013","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2013","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2013","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2013","Belgium","Millions of passenger-kilometres",":","c"
"2013","Belgium","Thousand passengers",":","c"
"2013","Bulgaria","Millions of passenger-kilometres","1,821",""
"2013","Bulgaria","Thousand passengers","26,059",""
"2013","Czechia","Millions of passenger-kilometres","7,512",""
"2013","Czechia","Thousand passengers","174,189",""
"2013","Denmark","Millions of passenger-kilometres","6,785",""
"2013","Denmark","Thousand passengers","206,160",""
"2013","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","89,450",""
"2013","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,612,764",""
"2013","Estonia","Millions of passenger-kilometres","223",""
"2013","Estonia","Thousand passengers","4,199",""
"2013","Ireland","Millions of passenger-kilometres","1,569",""
"2013","Ireland","Thousand passengers","37,130",""
"2013","Greece","Millions of passenger-kilometres","1,056",""
"2013","Greece","Thousand passengers","13,195",""
"2013","Spain","Millions of passenger-kilometres","23,755",""
"2013","Spain","Thousand passengers","563,269",""
"2013","France","Millions of passenger-kilometres","90,485",""
"2013","France","Thousand passengers","1,164,822",""
"2013","Croatia","Millions of passenger-kilometres","935",""
"2013","Croatia","Thousand passengers","24,216",""
"2013","Italy","Millions of passenger-kilometres","48,739",""
"2013","Italy","Thousand passengers","854,756",""
"2013","Latvia","Millions of passenger-kilometres","721",""
"2013","Latvia","Thousand passengers","19,730",""
"2013","Lithuania","Millions of passenger-kilometres","278",""
"2013","Lithuania","Thousand passengers","4,346",""
"2013","Luxembourg","Millions of passenger-kilometres","394",""
"2013","Luxembourg","Thousand passengers","20,549",""
"2013","Hungary","Millions of passenger-kilometres","7,806",""
"2013","Hungary","Thousand passengers","148,379",""
"2013","Netherlands","Millions of passenger-kilometres",":","c"
"2013","Netherlands","Thousand passengers",":","c"
"2013","Austria","Millions of passenger-kilometres","11,804",""
"2013","Austria","Thousand passengers","271,888",""
"2013","Poland","Millions of passenger-kilometres","16,659",""
"2013","Poland","Thousand passengers","262,382",""
"2013","Portugal","Millions of passenger-kilometres","3,649",""
"2013","Portugal","Thousand passengers","126,079",""
"2013","Romania","Millions of passenger-kilometres","4,382",""
"2013","Romania","Thousand passengers","57,393",""
"2013","Slovenia","Millions of passenger-kilometres","679",""
"2013","Slovenia","Thousand passengers","15,995",""
"2013","Slovakia","Millions of passenger-kilometres","2,485",""
"2013","Slovakia","Thousand passengers","45,946",""
"2013","Finland","Millions of passenger-kilometres","4,053",""
"2013","Finland","Thousand passengers","69,318",""
"2013","Sweden","Millions of passenger-kilometres","11,842",""
"2013","Sweden","Thousand passengers","200,706",""
"2013","United Kingdom","Millions of passenger-kilometres","61,950",""
"2013","United Kingdom","Thousand passengers","1,599,484",""
"2013","Liechtenstein","Millions of passenger-kilometres","1",""
"2013","Liechtenstein","Thousand passengers","96",""
"2013","Norway","Millions of passenger-kilometres","3,260",""
"2013","Norway","Thousand passengers","67,251",""
"2013","Switzerland","Millions of passenger-kilometres","19,368",""
"2013","Switzerland","Thousand passengers","540,352",""
"2013","Montenegro","Millions of passenger-kilometres","73",""
"2013","Montenegro","Thousand passengers","922",""
"2013","North Macedonia","Millions of passenger-kilometres","80",""
"2013","North Macedonia","Thousand passengers","853",""
"2013","Turkey","Millions of passenger-kilometres","3,775",""
"2013","Turkey","Thousand passengers","46,442",""
"2013","Bosnia and Herzegovina","Millions of passenger-kilometres",":",""
"2013","Bosnia and Herzegovina","Thousand passengers",":",""
"2014","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2014","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2014","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2014","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2014","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2014","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2014","Belgium","Millions of passenger-kilometres",":","c"
"2014","Belgium","Thousand passengers",":","c"
"2014","Bulgaria","Millions of passenger-kilometres","1,698",""
"2014","Bulgaria","Thousand passengers","24,615",""
"2014","Czechia","Millions of passenger-kilometres","7,644",""
"2014","Czechia","Thousand passengers","175,705",""
"2014","Denmark","Millions of passenger-kilometres","6,513",""
"2014","Denmark","Thousand passengers","208,311",""
"2014","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","90,978",""
"2014","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,693,080",""
"2014","Estonia","Millions of passenger-kilometres","280",""
"2014","Estonia","Thousand passengers","5,905",""
"2014","Ireland","Millions of passenger-kilometres","1,728",""
"2014","Ireland","Thousand passengers","38,517",""
"2014","Greece","Millions of passenger-kilometres","1,072",""
"2014","Greece","Thousand passengers","13,399",""
"2014","Spain","Millions of passenger-kilometres","25,034",""
"2014","Spain","Thousand passengers","563,801",""
"2014","France","Millions of passenger-kilometres","89,499",""
"2014","France","Thousand passengers","1,157,679",""
"2014","Croatia","Millions of passenger-kilometres","917",""
"2014","Croatia","Thousand passengers","21,889",""
"2014","Italy","Millions of passenger-kilometres","49,957",""
"2014","Italy","Thousand passengers","864,123",""
"2014","Latvia","Millions of passenger-kilometres","644",""
"2014","Latvia","Thousand passengers","19,190",""
"2014","Lithuania","Millions of passenger-kilometres","270",""
"2014","Lithuania","Thousand passengers","4,126",""
"2014","Luxembourg","Millions of passenger-kilometres","366",""
"2014","Luxembourg","Thousand passengers","21,503",""
"2014","Hungary","Millions of passenger-kilometres","7,710",""
"2014","Hungary","Thousand passengers","146,010",""
"2014","Netherlands","Millions of passenger-kilometres",":","c"
"2014","Netherlands","Thousand passengers",":","c"
"2014","Austria","Millions of passenger-kilometres","11,981",""
"2014","Austria","Thousand passengers","270,913",""
"2014","Poland","Millions of passenger-kilometres","15,885",""
"2014","Poland","Thousand passengers","260,260",""
"2014","Portugal","Millions of passenger-kilometres","3,852",""
"2014","Portugal","Thousand passengers","128,295",""
"2014","Romania","Millions of passenger-kilometres","4,971",""
"2014","Romania","Thousand passengers","64,751",""
"2014","Slovenia","Millions of passenger-kilometres","620",""
"2014","Slovenia","Thousand passengers","14,435",""
"2014","Slovakia","Millions of passenger-kilometres","2,583",""
"2014","Slovakia","Thousand passengers","49,098",""
"2014","Finland","Millions of passenger-kilometres","3,874",""
"2014","Finland","Thousand passengers","68,262",""
"2014","Sweden","Millions of passenger-kilometres","12,121",""
"2014","Sweden","Thousand passengers","207,280",""
"2014","United Kingdom","Millions of passenger-kilometres","64,711",""
"2014","United Kingdom","Thousand passengers","1,679,746",""
"2014","Liechtenstein","Millions of passenger-kilometres","1",""
"2014","Liechtenstein","Thousand passengers","97",""
"2014","Norway","Millions of passenger-kilometres","3,440",""
"2014","Norway","Thousand passengers","70,341",""
"2014","Switzerland","Millions of passenger-kilometres","19,934",""
"2014","Switzerland","Thousand passengers","567,049",""
"2014","Montenegro","Millions of passenger-kilometres","76",""
"2014","Montenegro","Thousand passengers","1,122",""
"2014","North Macedonia","Millions of passenger-kilometres","80",""
"2014","North Macedonia","Thousand passengers","803",""
"2014","Turkey","Millions of passenger-kilometres","4,393",""
"2014","Turkey","Thousand passengers","78,403",""
"2014","Bosnia and Herzegovina","Millions of passenger-kilometres","35",""
