"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2014","Bosnia and Herzegovina","Thousand passengers","528",""
"2015","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2015","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2015","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2015","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2015","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2015","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2015","Belgium","Millions of passenger-kilometres",":","c"
"2015","Belgium","Thousand passengers",":","c"
"2015","Bulgaria","Millions of passenger-kilometres","1,549",""
"2015","Bulgaria","Thousand passengers","22,518",""
"2015","Czechia","Millions of passenger-kilometres","8,125",""
"2015","Czechia","Thousand passengers","176,146",""
"2015","Denmark","Millions of passenger-kilometres","6,507",""
"2015","Denmark","Thousand passengers","212,253",""
"2015","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","91,050",""
"2015","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,684,908",""
"2015","Estonia","Millions of passenger-kilometres","286",""
"2015","Estonia","Thousand passengers","6,659",""
"2015","Ireland","Millions of passenger-kilometres","1,918",""
"2015","Ireland","Thousand passengers","39,660",""
"2015","Greece","Millions of passenger-kilometres","1,263",""
"2015","Greece","Thousand passengers","16,040",""
"2015","Spain","Millions of passenger-kilometres","26,108",""
"2015","Spain","Thousand passengers","567,854",""
"2015","France","Millions of passenger-kilometres","91,377",""
"2015","France","Thousand passengers","1,204,201",""
"2015","Croatia","Millions of passenger-kilometres","941",""
"2015","Croatia","Thousand passengers","21,649",""
"2015","Italy","Millions of passenger-kilometres","52,207",""
"2015","Italy","Thousand passengers","872,623",""
"2015","Latvia","Millions of passenger-kilometres","590",""
"2015","Latvia","Thousand passengers","17,065",""
"2015","Lithuania","Millions of passenger-kilometres","262",""
"2015","Lithuania","Thousand passengers","3,790",""
"2015","Luxembourg","Millions of passenger-kilometres","418",""
"2015","Luxembourg","Thousand passengers","22,496",""
"2015","Hungary","Millions of passenger-kilometres",":","c"
"2015","Hungary","Thousand passengers",":","c"
"2015","Netherlands","Millions of passenger-kilometres",":","c"
"2015","Netherlands","Thousand passengers",":","c"
"2015","Austria","Millions of passenger-kilometres","12,104",""
"2015","Austria","Thousand passengers","280,060",""
"2015","Poland","Millions of passenger-kilometres","17,240",""
"2015","Poland","Thousand passengers","269,664",""
"2015","Portugal","Millions of passenger-kilometres","3,957",""
"2015","Portugal","Thousand passengers","130,421",""
"2015","Romania","Millions of passenger-kilometres","5,148",""
"2015","Romania","Thousand passengers","66,479",""
"2015","Slovenia","Millions of passenger-kilometres","628",""
"2015","Slovenia","Thousand passengers","14,135",""
"2015","Slovakia","Millions of passenger-kilometres","3,411",""
"2015","Slovakia","Thousand passengers","60,292",""
"2015","Finland","Millions of passenger-kilometres","4,114",""
"2015","Finland","Thousand passengers","75,952",""
"2015","Sweden","Millions of passenger-kilometres","12,741",""
"2015","Sweden","Thousand passengers","214,434",""
"2015","United Kingdom","Millions of passenger-kilometres","66,594",""
"2015","United Kingdom","Thousand passengers","1,741,562",""
"2015","Liechtenstein","Millions of passenger-kilometres","15",""
"2015","Liechtenstein","Thousand passengers","950",""
"2015","Norway","Millions of passenger-kilometres","3,555",""
"2015","Norway","Thousand passengers","73,836",""
"2015","Switzerland","Millions of passenger-kilometres","20,228",""
"2015","Switzerland","Thousand passengers","582,889",""
"2015","Montenegro","Millions of passenger-kilometres","81",""
"2015","Montenegro","Thousand passengers","1,236",""
"2015","North Macedonia","Millions of passenger-kilometres","177",""
"2015","North Macedonia","Thousand passengers","1,022",""
"2015","Turkey","Millions of passenger-kilometres","4,828",""
"2015","Turkey","Thousand passengers","95,318",""
"2015","Bosnia and Herzegovina","Millions of passenger-kilometres","34",""
"2015","Bosnia and Herzegovina","Thousand passengers","512",""
"2016","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2016","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2016","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2016","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2016","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2016","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2016","Belgium","Millions of passenger-kilometres",":","c"
"2016","Belgium","Thousand passengers",":","c"
"2016","Bulgaria","Millions of passenger-kilometres","1,455",""
"2016","Bulgaria","Thousand passengers","21,425",""
"2016","Czechia","Millions of passenger-kilometres","8,738",""
"2016","Czechia","Thousand passengers","178,766",""
"2016","Denmark","Millions of passenger-kilometres","6,332",""
"2016","Denmark","Thousand passengers","211,399",""
"2016","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","95,465",""
"2016","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,813,782",""
"2016","Estonia","Millions of passenger-kilometres","316",""
"2016","Estonia","Thousand passengers","6,926",""
"2016","Ireland","Millions of passenger-kilometres","1,991",""
"2016","Ireland","Thousand passengers","42,820",""
"2016","Greece","Millions of passenger-kilometres","1,192",""
"2016","Greece","Thousand passengers","15,582",""
"2016","Spain","Millions of passenger-kilometres","26,646",""
"2016","Spain","Thousand passengers","575,572",""
"2016","France","Millions of passenger-kilometres","90,612",""
"2016","France","Thousand passengers","1,236,523",""
"2016","Croatia","Millions of passenger-kilometres","827",""
"2016","Croatia","Thousand passengers","20,709",""
"2016","Italy","Millions of passenger-kilometres","52,178",""
"2016","Italy","Thousand passengers","869,199",""
"2016","Latvia","Millions of passenger-kilometres","584",""
"2016","Latvia","Thousand passengers","17,228",""
"2016","Lithuania","Millions of passenger-kilometres","280",""
"2016","Lithuania","Thousand passengers","3,916",""
"2016","Luxembourg","Millions of passenger-kilometres","417",""
"2016","Luxembourg","Thousand passengers","22,459",""
"2016","Hungary","Millions of passenger-kilometres",":","c"
"2016","Hungary","Thousand passengers",":","c"
"2016","Netherlands","Millions of passenger-kilometres",":","c"
"2016","Netherlands","Thousand passengers",":","c"
"2016","Austria","Millions of passenger-kilometres","12,497",""
"2016","Austria","Thousand passengers","286,990",""
"2016","Poland","Millions of passenger-kilometres","19,067",""
"2016","Poland","Thousand passengers","285,094",""
"2016","Portugal","Millions of passenger-kilometres","4,266",""
"2016","Portugal","Thousand passengers","133,472",""
"2016","Romania","Millions of passenger-kilometres","4,988",""
"2016","Romania","Thousand passengers","64,455",""
"2016","Slovenia","Millions of passenger-kilometres","611",""
"2016","Slovenia","Thousand passengers","13,650",""
"2016","Slovakia","Millions of passenger-kilometres","3,484",""
"2016","Slovakia","Thousand passengers","69,150",""
"2016","Finland","Millions of passenger-kilometres","3,868",""
"2016","Finland","Thousand passengers","82,114",""
"2016","Sweden","Millions of passenger-kilometres","12,800",""
"2016","Sweden","Thousand passengers","220,945",""
"2016","United Kingdom","Millions of passenger-kilometres","68,010",""
"2016","United Kingdom","Thousand passengers","1,772,563",""
"2016","Liechtenstein","Millions of passenger-kilometres","16",""
"2016","Liechtenstein","Thousand passengers","936",""
"2016","Norway","Millions of passenger-kilometres","3,695",""
"2016","Norway","Thousand passengers","74,293",""
"2016","Switzerland","Millions of passenger-kilometres","20,657",""
"2016","Switzerland","Thousand passengers","602,659",""
"2016","Montenegro","Millions of passenger-kilometres","84",""
"2016","Montenegro","Thousand passengers","1,285",""
"2016","North Macedonia","Millions of passenger-kilometres","83",""
"2016","North Macedonia","Thousand passengers","663",""
"2016","Turkey","Millions of passenger-kilometres","4,325",""
"2016","Turkey","Thousand passengers","89,038",""
"2016","Bosnia and Herzegovina","Millions of passenger-kilometres","24",""
"2016","Bosnia and Herzegovina","Thousand passengers","418",""
"2017","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2017","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2017","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2017","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2017","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2017","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2017","Belgium","Millions of passenger-kilometres",":","c"
"2017","Belgium","Thousand passengers",":","c"
"2017","Bulgaria","Millions of passenger-kilometres","1,434",""
"2017","Bulgaria","Thousand passengers","21,195",""
"2017","Czechia","Millions of passenger-kilometres","9,403",""
"2017","Czechia","Thousand passengers","182,724",""
"2017","Denmark","Millions of passenger-kilometres","6,280",""
"2017","Denmark","Thousand passengers","206,566",""
"2017","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","95,529",""
"2017","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,831,443",""
"2017","Estonia","Millions of passenger-kilometres","366",""
"2017","Estonia","Thousand passengers","7,433",""
"2017","Ireland","Millions of passenger-kilometres","2,122",""
"2017","Ireland","Thousand passengers","45,505",""
"2017","Greece","Millions of passenger-kilometres","1,112",""
"2017","Greece","Thousand passengers","15,359",""
"2017","Spain","Millions of passenger-kilometres","27,490",""
"2017","Spain","Thousand passengers","600,296",""
"2017","France","Millions of passenger-kilometres","96,690",""
"2017","France","Thousand passengers","1,277,479",""
"2017","Croatia","Millions of passenger-kilometres","736",""
"2017","Croatia","Thousand passengers","19,803",""
"2017","Italy","Millions of passenger-kilometres","53,231",""
"2017","Italy","Thousand passengers","864,570",""
"2017","Latvia","Millions of passenger-kilometres","596",""
"2017","Latvia","Thousand passengers","17,494",""
"2017","Lithuania","Millions of passenger-kilometres","315",""
"2017","Lithuania","Thousand passengers","4,176",""
"2017","Luxembourg","Millions of passenger-kilometres","438",""
"2017","Luxembourg","Thousand passengers","22,930",""
"2017","Hungary","Millions of passenger-kilometres",":","c"
"2017","Hungary","Thousand passengers",":","c"
"2017","Netherlands","Millions of passenger-kilometres",":","c"
"2017","Netherlands","Thousand passengers",":","c"
"2017","Austria","Millions of passenger-kilometres","12,562",""
"2017","Austria","Thousand passengers","288,503",""
"2017","Poland","Millions of passenger-kilometres","20,215",""
"2017","Poland","Thousand passengers","295,394",""
"2017","Portugal","Millions of passenger-kilometres","4,516",""
"2017","Portugal","Thousand passengers","142,127",""
"2017","Romania","Millions of passenger-kilometres","5,663",""
"2017","Romania","Thousand passengers","69,056",""
"2017","Slovenia","Millions of passenger-kilometres","570",""
"2017","Slovenia","Thousand passengers","13,002",""
"2017","Slovakia","Millions of passenger-kilometres","3,754",""
"2017","Slovakia","Thousand passengers","74,916",""
"2017","Finland","Millions of passenger-kilometres","4,271",""
"2017","Finland","Thousand passengers","85,703",""
"2017","Sweden","Millions of passenger-kilometres","13,331",""
"2017","Sweden","Thousand passengers","229,817",""
"2017","United Kingdom","Millions of passenger-kilometres","68,912",""
"2017","United Kingdom","Thousand passengers","1,757,359",""
"2017","Liechtenstein","Millions of passenger-kilometres","15",""
"2017","Liechtenstein","Thousand passengers","855",""
"2017","Norway","Millions of passenger-kilometres","3,584",""
"2017","Norway","Thousand passengers","73,561",""
"2017","Switzerland","Millions of passenger-kilometres","20,707",""
"2017","Switzerland","Thousand passengers","607,941",""
"2017","Montenegro","Millions of passenger-kilometres","60",""
"2017","Montenegro","Thousand passengers","927",""
"2017","North Macedonia","Millions of passenger-kilometres","59",""
"2017","North Macedonia","Thousand passengers","500",""
"2017","Turkey","Millions of passenger-kilometres","4,566",""
"2017","Turkey","Thousand passengers","85,338",""
"2017","Bosnia and Herzegovina","Millions of passenger-kilometres","29",""
"2017","Bosnia and Herzegovina","Thousand passengers","472",""
"2018","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2018","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2018","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2018","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2018","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2018","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2018","Belgium","Millions of passenger-kilometres",":","c"
"2018","Belgium","Thousand passengers",":","c"
"2018","Bulgaria","Millions of passenger-kilometres","1,476",""
"2018","Bulgaria","Thousand passengers","21,329",""
"2018","Czechia","Millions of passenger-kilometres","10,220",""
"2018","Czechia","Thousand passengers","189,288",""
"2018","Denmark","Millions of passenger-kilometres","6,182",""
"2018","Denmark","Thousand passengers","205,307",""
"2018","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","98,161",""
"2018","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,880,558",""
"2018","Estonia","Millions of passenger-kilometres","417",""
"2018","Estonia","Thousand passengers","7,759",""
"2018","Ireland","Millions of passenger-kilometres","2,281",""
"2018","Ireland","Thousand passengers","47,960",""
"2018","Greece","Millions of passenger-kilometres","1,104",""
"2018","Greece","Thousand passengers","16,795",""
"2018","Spain","Millions of passenger-kilometres","28,420",""
"2018","Spain","Thousand passengers","601,912",""
"2018","France","Millions of passenger-kilometres","93,387",""
"2018","France","Thousand passengers","1,246,804",""
"2018","Croatia","Millions of passenger-kilometres","747",""
"2018","Croatia","Thousand passengers","20,244",""
"2018","Italy","Millions of passenger-kilometres","55,493",""
"2018","Italy","Thousand passengers","882,243",""
"2018","Latvia","Millions of passenger-kilometres","624",""
"2018","Latvia","Thousand passengers","18,242",""
"2018","Lithuania","Millions of passenger-kilometres","354",""
"2018","Lithuania","Thousand passengers","4,665",""
"2018","Luxembourg","Millions of passenger-kilometres","443",""
"2018","Luxembourg","Thousand passengers","23,331",""
"2018","Hungary","Millions of passenger-kilometres",":","c"
"2018","Hungary","Thousand passengers",":","c"
"2018","Netherlands","Millions of passenger-kilometres",":","c"
"2018","Netherlands","Thousand passengers",":","c"
"2018","Austria","Millions of passenger-kilometres","13,122",""
"2018","Austria","Thousand passengers","307,647",""
"2018","Poland","Millions of passenger-kilometres",":","c"
"2018","Poland","Thousand passengers",":","c"
"2018","Portugal","Millions of passenger-kilometres","4,570",""
"2018","Portugal","Thousand passengers","147,581",""
"2018","Romania","Millions of passenger-kilometres","5,577",""
"2018","Romania","Thousand passengers","66,500",""
"2018","Slovenia","Millions of passenger-kilometres","568",""
"2018","Slovenia","Thousand passengers","13,105",""
"2018","Slovakia","Millions of passenger-kilometres","3,792",""
"2018","Slovakia","Thousand passengers","77,265",""
"2018","Finland","Millions of passenger-kilometres","4,535",""
"2018","Finland","Thousand passengers","87,502",""
"2018","Sweden","Millions of passenger-kilometres","13,547",""
"2018","Sweden","Thousand passengers","246,490",""
"2018","United Kingdom","Millions of passenger-kilometres","69,706",""
"2018","United Kingdom","Thousand passengers","1,783,232",""
"2018","Liechtenstein","Millions of passenger-kilometres","16",""
"2018","Liechtenstein","Thousand passengers","940",""
"2018","Norway","Millions of passenger-kilometres","3,722",""
"2018","Norway","Thousand passengers","77,740",""
"2018","Switzerland","Millions of passenger-kilometres","20,451",""
"2018","Switzerland","Thousand passengers","607,567",""
"2018","Montenegro","Millions of passenger-kilometres","67",""
"2018","Montenegro","Thousand passengers","992",""
"2018","North Macedonia","Millions of passenger-kilometres","63",""
"2018","North Macedonia","Thousand passengers","540",""
"2018","Turkey","Millions of passenger-kilometres","5,560",""
"2018","Turkey","Thousand passengers","100,568",""
"2018","Bosnia and Herzegovina","Millions of passenger-kilometres","39",""
"2018","Bosnia and Herzegovina","Thousand passengers","549",""
"2019","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2019","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2019","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2019","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2019","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2019","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2019","Belgium","Millions of passenger-kilometres",":","c"
"2019","Belgium","Thousand passengers",":","c"
"2019","Bulgaria","Millions of passenger-kilometres","1,520",""
"2019","Bulgaria","Thousand passengers","21,329",""
"2019","Czechia","Millions of passenger-kilometres","10,856",""
"2019","Czechia","Thousand passengers","193,569",""
"2019","Denmark","Millions of passenger-kilometres","6,174",""
"2019","Denmark","Thousand passengers","206,601",""
"2019","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","100,252",""
"2019","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,938,023",""
"2019","Estonia","Millions of passenger-kilometres","392",""
"2019","Estonia","Thousand passengers","8,373",""
"2019","Ireland","Millions of passenger-kilometres","2,399",""
"2019","Ireland","Thousand passengers","50,060",""
"2019","Greece","Millions of passenger-kilometres","1,252",""
"2019","Greece","Thousand passengers","19,599",""
"2019","Spain","Millions of passenger-kilometres","28,847",""
"2019","Spain","Thousand passengers","634,954",""
"2019","France","Millions of passenger-kilometres","98,360",""
"2019","France","Thousand passengers","1,266,254",""
"2019","Croatia","Millions of passenger-kilometres","724",""
"2019","Croatia","Thousand passengers","19,827",""
"2019","Italy","Millions of passenger-kilometres","56,586",""
"2019","Italy","Thousand passengers","898,472",""
"2019","Latvia","Millions of passenger-kilometres","643",""
"2019","Latvia","Thousand passengers","18,623",""
"2019","Lithuania","Millions of passenger-kilometres","359",""
"2019","Lithuania","Thousand passengers","4,991",""
"2019","Luxembourg","Millions of passenger-kilometres","463",""
"2019","Luxembourg","Thousand passengers","25,016",""
"2019","Hungary","Millions of passenger-kilometres",":","c"
"2019","Hungary","Thousand passengers",":","c"
"2019","Netherlands","Millions of passenger-kilometres",":","c"
"2019","Netherlands","Thousand passengers",":","c"
"2019","Austria","Millions of passenger-kilometres","13,252",""
"2019","Austria","Thousand passengers","314,892",""
"2019","Poland","Millions of passenger-kilometres",":","c"
"2019","Poland","Thousand passengers",":","c"
"2019","Portugal","Millions of passenger-kilometres","5,055",""
"2019","Portugal","Thousand passengers","175,511",""
"2019","Romania","Millions of passenger-kilometres","5,906",""
"2019","Romania","Thousand passengers","69,707",""
"2019","Slovenia","Millions of passenger-kilometres","572",""
"2019","Slovenia","Thousand passengers","13,259",""
"2019","Slovakia","Millions of passenger-kilometres","3,957",""
"2019","Slovakia","Thousand passengers","80,671",""
"2019","Finland","Millions of passenger-kilometres","4,924",""
"2019","Finland","Thousand passengers","92,801",""
"2019","Sweden","Millions of passenger-kilometres","14,617",""
"2019","Sweden","Thousand passengers","264,603",""
"2019","United Kingdom","Millions of passenger-kilometres","71,823",""
"2019","United Kingdom","Thousand passengers","1,836,886",""
"2019","Liechtenstein","Millions of passenger-kilometres","18",""
"2019","Liechtenstein","Thousand passengers","1,081",""
"2019","Norway","Millions of passenger-kilometres","3,715",""
"2019","Norway","Thousand passengers","80,402",""
"2019","Switzerland","Millions of passenger-kilometres","21,559",""
"2019","Switzerland","Thousand passengers","635,595",""
"2019","Montenegro","Millions of passenger-kilometres","66",""
"2019","Montenegro","Thousand passengers","986",""
"2019","North Macedonia","Millions of passenger-kilometres","62",""
"2019","North Macedonia","Thousand passengers","549",""
"2019","Turkey","Millions of passenger-kilometres","11,068",""
"2019","Turkey","Thousand passengers","164,712",""
"2019","Bosnia and Herzegovina","Millions of passenger-kilometres",":",""
"2019","Bosnia and Herzegovina","Thousand passengers",":",""
